uuid,gpu_name,elapsed_s,matmuls,dtype,n,tflops
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4.62,20,bf16,8192,225.767
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4.72,20,bf16,8192,225.92
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4.82,20,bf16,8192,225.819
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4.92,20,bf16,8192,223.375
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.01,20,bf16,8192,225.487
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.11,20,bf16,8192,225.035
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.21,20,bf16,8192,224.961
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.31,20,bf16,8192,224.972
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.4,20,bf16,8192,225.076
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.5,20,bf16,8192,223.185
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.6,20,bf16,8192,225.274
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.7,20,bf16,8192,225.151
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.8,20,bf16,8192,224.96
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.89,20,bf16,8192,224.962
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,5.99,20,bf16,8192,224.795
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.09,20,bf16,8192,225.32
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.19,20,bf16,8192,223.722
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.29,20,bf16,8192,224.706
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.38,20,bf16,8192,224.808
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.48,20,bf16,8192,224.834
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.58,20,bf16,8192,224.955
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.68,20,bf16,8192,224.674
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.78,20,bf16,8192,223.839
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.87,20,bf16,8192,224.791
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,6.97,20,bf16,8192,224.833
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.07,20,bf16,8192,224.676
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.17,20,bf16,8192,224.724
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.26,20,bf16,8192,224.97
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.36,20,bf16,8192,223.471
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.46,20,bf16,8192,224.618
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.56,20,bf16,8192,224.761
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.66,20,bf16,8192,224.548
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.75,20,bf16,8192,224.737
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.85,20,bf16,8192,225.042
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,7.95,20,bf16,8192,223.175
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.05,20,bf16,8192,224.96
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.15,20,bf16,8192,224.668
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.24,20,bf16,8192,225.006
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.34,20,bf16,8192,224.615
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.44,20,bf16,8192,224.672
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.54,20,bf16,8192,223.077
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.64,20,bf16,8192,224.54
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.73,20,bf16,8192,224.803
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.83,20,bf16,8192,224.516
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8.93,20,bf16,8192,224.749
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.03,20,bf16,8192,224.343
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.13,20,bf16,8192,222.899
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.22,20,bf16,8192,224.86
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.32,20,bf16,8192,224.648
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.42,20,bf16,8192,224.663
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.52,20,bf16,8192,224.786
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.62,20,bf16,8192,224.297
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.71,20,bf16,8192,223.177
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.81,20,bf16,8192,224.873
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,9.91,20,bf16,8192,224.485
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.01,20,bf16,8192,224.769
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.11,20,bf16,8192,224.605
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.2,20,bf16,8192,224.616
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.3,20,bf16,8192,222.793
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.4,20,bf16,8192,224.748
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.5,20,bf16,8192,224.203
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.6,20,bf16,8192,224.267
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.69,20,bf16,8192,224.439
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.79,20,bf16,8192,224.534
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.89,20,bf16,8192,222.564
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,10.99,20,bf16,8192,224.851
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.09,20,bf16,8192,224.405
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.19,20,bf16,8192,224.324
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.28,20,bf16,8192,224.15
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.38,20,bf16,8192,224.317
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.48,20,bf16,8192,223.629
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.58,20,bf16,8192,224.314
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.68,20,bf16,8192,224.315
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.77,20,bf16,8192,224.512
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.87,20,bf16,8192,224.508
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,11.97,20,bf16,8192,224.515
